,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size
0,Male,No,22,No,Healthcare,1.0,0.0,4.0
1,Female,Yes,38,Yes,Engineer,,1.0,3.0
2,Female,Yes,67,Yes,Engineer,1.0,0.0,1.0
3,Male,Yes,67,Yes,Lawyer,0.0,2.0,2.0
4,Female,Yes,40,Yes,Entertainment,,2.0,6.0
5,Male,Yes,56,No,Artist,0.0,1.0,2.0
6,Male,No,32,Yes,Healthcare,1.0,0.0,3.0
7,Female,No,33,Yes,Healthcare,1.0,0.0,3.0
8,Female,Yes,61,Yes,Engineer,0.0,0.0,3.0
9,Female,Yes,55,Yes,Artist,1.0,1.0,4.0
10,Female,No,26,Yes,Engineer,1.0,0.0,3.0
11,Male,No,19,No,Healthcare,4.0,0.0,4.0
12,Female,No,19,No,Executive,0.0,0.0,2.0
13,Male,Yes,70,No,Lawyer,,0.0,1.0
14,Female,Yes,58,No,Doctor,0.0,0.0,1.0
15,Female,No,41,No,Healthcare,1.0,0.0,2.0
16,Female,No,32,No,Homemaker,9.0,0.0,5.0
17,Male,No,31,No,Healthcare,1.0,0.0,6.0
18,Male,Yes,58,Yes,Entertainment,1.0,1.0,4.0
19,Female,Yes,79,Yes,Artist,0.0,2.0,1.0
20,Male,Yes,49,Yes,Homemaker,12.0,0.0,1.0
21,Female,No,18,No,Healthcare,3.0,0.0,4.0
22,Male,Yes,33,Yes,Artist,13.0,0.0,2.0
23,Female,No,36,Yes,Artist,5.0,0.0,2.0
24,Female,Yes,58,No,Executive,1.0,1.0,3.0
25,Male,Yes,56,No,Artist,1.0,1.0,3.0
26,Male,No,31,No,Healthcare,9.0,0.0,8.0
27,Male,Yes,49,Yes,Artist,1.0,1.0,3.0
28,Male,No,35,Yes,Artist,0.0,0.0,1.0
29,Female,No,35,No,Artist,5.0,0.0,4.0
30,Female,Yes,45,Yes,Artist,0.0,0.0,3.0
31,Female,Yes,42,No,Doctor,1.0,0.0,2.0
32,Male,No,19,No,Healthcare,1.0,0.0,3.0
33,Male,No,26,No,Homemaker,9.0,0.0,2.0
34,Female,Yes,83,No,Lawyer,1.0,2.0,2.0
35,Female,No,27,Yes,Healthcare,3.0,0.0,4.0
36,Male,No,32,No,Doctor,5.0,0.0,1.0
37,Female,Yes,28,No,Healthcare,1.0,1.0,5.0
38,Female,Yes,28,Yes,Artist,8.0,0.0,2.0
39,Male,Yes,56,Yes,Artist,,1.0,2.0
40,Female,No,47,Yes,Artist,4.0,0.0,1.0
41,Female,No,22,No,Healthcare,0.0,0.0,2.0
42,Female,No,27,Yes,Artist,14.0,0.0,3.0
43,Female,Yes,49,Yes,Artist,1.0,0.0,2.0
44,Male,Yes,40,No,Engineer,8.0,0.0,1.0
45,Female,Yes,79,No,Lawyer,,2.0,2.0
46,Male,Yes,41,Yes,Artist,0.0,1.0,4.0
47,Female,No,29,Yes,Healthcare,,0.0,1.0
48,Male,No,19,No,Healthcare,0.0,0.0,4.0
49,Female,No,45,Yes,Engineer,1.0,0.0,1.0
50,Female,Yes,61,No,Artist,1.0,1.0,2.0
51,Female,Yes,36,Yes,Artist,1.0,1.0,2.0
52,Male,Yes,40,Yes,Artist,1.0,0.0,1.0
53,Female,Yes,57,Yes,Entertainment,0.0,1.0,2.0
54,Male,Yes,76,No,Marketing,1.0,0.0,1.0
55,Male,Yes,32,Yes,Artist,14.0,1.0,2.0
56,Male,No,25,Yes,Healthcare,9.0,0.0,4.0
57,Male,No,32,Yes,Doctor,8.0,0.0,2.0
58,Female,Yes,45,Yes,Artist,1.0,1.0,3.0
59,Male,Yes,72,Yes,Lawyer,1.0,0.0,2.0
60,Male,Yes,48,Yes,Artist,0.0,1.0,2.0
61,Male,Yes,55,Yes,Artist,9.0,1.0,2.0
62,Male,Yes,74,Yes,Lawyer,0.0,2.0,3.0
63,Male,Yes,56,Yes,Lawyer,1.0,2.0,2.0
64,Male,Yes,59,Yes,Lawyer,7.0,2.0,2.0
65,Male,No,25,Yes,Entertainment,0.0,0.0,2.0
66,Male,Yes,31,Yes,Doctor,0.0,1.0,2.0
67,Male,No,27,No,Artist,8.0,0.0,4.0
68,Male,Yes,57,Yes,Artist,0.0,1.0,4.0
69,Female,Yes,39,Yes,Homemaker,,2.0,2.0
70,Male,Yes,27,Yes,Healthcare,8.0,0.0,2.0
71,Female,Yes,51,Yes,Entertainment,8.0,1.0,2.0
72,Female,Yes,47,No,Artist,0.0,1.0,5.0
73,Female,No,33,No,Healthcare,8.0,0.0,4.0
74,Male,Yes,56,Yes,Artist,0.0,1.0,4.0
75,Female,No,33,No,Homemaker,0.0,0.0,3.0
76,Female,No,36,Yes,Doctor,0.0,0.0,2.0
77,Male,Yes,51,No,Artist,4.0,0.0,3.0
78,Male,Yes,45,Yes,Engineer,2.0,1.0,2.0
79,Female,No,49,Yes,Artist,1.0,0.0,1.0
80,Male,No,30,No,Healthcare,0.0,0.0,4.0
81,Female,No,26,No,Healthcare,6.0,0.0,3.0
82,Male,Yes,63,Yes,Artist,8.0,0.0,1.0
83,Male,Yes,35,No,Entertainment,8.0,1.0,4.0
84,Female,No,19,No,Marketing,1.0,0.0,3.0
85,Male,No,32,No,Healthcare,7.0,0.0,5.0
86,Male,Yes,52,Yes,Artist,0.0,1.0,3.0
87,Female,Yes,36,Yes,Artist,5.0,0.0,2.0
88,Female,No,42,No,Entertainment,7.0,0.0,3.0
89,Male,Yes,40,No,Doctor,0.0,1.0,2.0
90,Male,No,39,Yes,Entertainment,0.0,0.0,3.0
91,Female,Yes,47,Yes,Artist,1.0,1.0,4.0
92,Female,Yes,61,Yes,Artist,1.0,2.0,2.0
93,Male,Yes,32,No,Entertainment,1.0,0.0,2.0
94,Male,Yes,55,No,Artist,0.0,0.0,1.0
95,Male,Yes,58,Yes,Artist,,1.0,1.0
96,Female,No,38,Yes,Artist,0.0,0.0,1.0
97,Male,Yes,63,Yes,Artist,0.0,2.0,2.0
98,Male,Yes,58,Yes,Doctor,1.0,1.0,2.0
99,Male,Yes,30,No,Engineer,3.0,1.0,3.0
100,Male,Yes,60,Yes,Artist,0.0,1.0,4.0
101,Male,Yes,68,No,Executive,1.0,2.0,7.0
102,Male,Yes,52,No,Artist,0.0,0.0,3.0
103,Male,Yes,38,No,Executive,0.0,2.0,5.0
104,Female,Yes,35,Yes,Healthcare,10.0,0.0,2.0
105,Male,No,18,No,Doctor,1.0,0.0,2.0
106,Male,Yes,30,Yes,Homemaker,3.0,0.0,2.0
107,Male,No,86,No,Lawyer,1.0,0.0,1.0
108,Female,Yes,19,No,Healthcare,6.0,0.0,5.0
109,Male,No,25,No,Healthcare,9.0,0.0,3.0
110,Male,Yes,59,Yes,Entertainment,,0.0,4.0
111,Female,No,39,Yes,Artist,0.0,0.0,1.0
112,Female,Yes,50,Yes,Doctor,1.0,0.0,2.0
113,Male,No,47,Yes,Artist,1.0,0.0,1.0
114,Male,Yes,43,Yes,Executive,0.0,2.0,3.0
115,Male,Yes,36,No,Executive,8.0,1.0,4.0
116,Male,Yes,80,No,Lawyer,1.0,0.0,1.0
117,Male,No,36,Yes,Artist,0.0,0.0,2.0
118,Male,No,27,No,Artist,2.0,0.0,7.0
119,Female,Yes,37,Yes,Artist,1.0,2.0,2.0
120,Male,Yes,46,Yes,Executive,0.0,2.0,3.0
121,Male,Yes,55,No,Executive,1.0,2.0,4.0
122,Female,Yes,47,No,Engineer,9.0,1.0,4.0
123,Female,No,28,Yes,Healthcare,1.0,0.0,3.0
124,Male,Yes,39,No,Entertainment,9.0,0.0,2.0
125,Female,Yes,27,No,Marketing,1.0,0.0,2.0
126,Female,Yes,42,No,Engineer,0.0,0.0,2.0
127,Male,Yes,72,Yes,Artist,0.0,1.0,2.0
128,Female,Yes,28,Yes,Engineer,0.0,0.0,2.0
129,Male,No,35,Yes,Entertainment,8.0,0.0,5.0
130,Male,Yes,39,Yes,Executive,9.0,2.0,5.0
131,Female,Yes,69,Yes,Lawyer,0.0,2.0,2.0
132,Male,No,18,No,Healthcare,6.0,0.0,4.0
133,Male,Yes,46,Yes,Artist,,0.0,1.0
134,Female,Yes,50,Yes,Engineer,1.0,2.0,2.0
135,Male,No,30,No,Executive,5.0,0.0,5.0
136,Female,No,41,No,Artist,,0.0,2.0
137,Female,No,39,Yes,Artist,3.0,0.0,4.0
138,Female,No,29,No,Marketing,8.0,0.0,4.0
139,Female,Yes,37,Yes,Artist,4.0,0.0,4.0
140,Female,Yes,39,Yes,Engineer,0.0,1.0,2.0
141,Female,Yes,48,Yes,Artist,0.0,1.0,5.0
142,Female,No,32,Yes,Doctor,0.0,0.0,3.0
143,Male,Yes,78,No,Lawyer,1.0,0.0,2.0
144,Female,Yes,43,No,Engineer,0.0,1.0,5.0
145,Male,No,29,No,Marketing,8.0,0.0,5.0
146,Female,Yes,28,No,Engineer,9.0,1.0,2.0
147,Male,Yes,80,Yes,Lawyer,1.0,0.0,1.0
148,Female,No,28,Yes,Healthcare,7.0,0.0,4.0
149,Male,Yes,71,Yes,Artist,6.0,1.0,3.0
150,Male,Yes,67,No,Lawyer,0.0,2.0,9.0
151,Female,No,26,No,Engineer,0.0,0.0,1.0
152,Female,Yes,47,Yes,Engineer,0.0,1.0,2.0
153,Female,Yes,43,Yes,Artist,2.0,1.0,2.0
154,Female,No,27,Yes,Healthcare,0.0,0.0,4.0
